F1;F2;F3;F4;Rep;M_OF;M_TIME(s);CBC_OF;CBC_TIME;CBC_#FEASIBILITY CUTS;CBC_# PENALTY CUTS;;;;;;;;
3;400;9;A;1;361;0,266;361;0,462;0;0;;;;;;;;
3;400;9;A;2;306;0,511;306;0,106;0;0;;;;;;;;
3;400;9;A;3;271;1,052;271;1,646;0;4;;;;;;;;
3;400;6;A;4;263;0,556;263;0,179;0;1;;;;;;;;
3;400;9;A;5;307;4,706;307;4,633;0;4;;;;;;;;
3;400;7;A;6;270;1,139;270;0,057;0;0;;;;;;;;
3;400;8;A;7;251;0,726;251;0,188;0;1;;;;;;;;
3;400;7;A;8;292;1,5;292;0,023;0;0;;;;;;;;
3;400;10;A;9;277;0,846;277;0,197;0;0;;;;;;;;
3;400;8;A;10;249;1,141;249;0,551;0;0;;;;;;;;
3;500;8;A;1;293;0,137;293;0,023;0;0;;;;;;;;
3;500;8;A;2;314;3,926;314;2,367;0;1;;;;;;;;
3;500;9;A;3;291;0,995;291;0,214;0;0;;;;;;;;
3;500;10;A;4;389;3,67;389;2,567;0;1;;;;;;;;
3;500;9;A;5;227;1,296;227;2,066;0;1;;;;;;;;
3;500;9;A;6;258;5,079;258;1,941;0;2;;;;;;;;
3;500;10;A;7;345;1,147;345;0,38;0;0;;;;;;;;
3;500;10;A;8;326;2,29;326;0,404;0;1;;;;;;;;
3;500;10;A;9;401;8,107;401;4,194;0;1;;;;;;;;
3;500;8;A;10;275;0,777;275;0,026;0;0;;;;;;;;
3;600;12;A;1;375;6,895;375;3,288;0;1;;;;;;;;
3;600;9;A;2;323;6,134;323;1,129;0;1;;;;;;;;
3;600;10;A;3;326;2,539;326;0,891;0;0;;;;;;;;
3;600;10;A;4;500;6,395;500;3,414;0;1;;;;;;;;
3;600;11;A;5;314;2,383;314;0,355;0;0;;;;;;;;
3;600;10;A;6;492;6,246;492;1,185;0;1;;;;;;;;
3;600;10;A;7;380;0,177;380;0,035;0;0;;;;;;;;
3;600;12;A;8;441;3,486;441;0,558;0;0;;;;;;;;
3;600;11;A;9;393;2,699;393;4,613;0;1;;;;;;;;
3;600;10;A;10;304;9,894;304;4,23;0;2;;;;;;;;
5;400;10;A;1;270;3,538;270;2,777;0;1;;;;;;;;
5;400;9;A;2;333;1,794;333;1,131;0;1;;;;;;;;
5;400;7;A;3;283;3,785;283;4,155;0;2;;;;;;;;
5;400;8;A;4;348;6,13;348;4,569;0;3;;;;;;;;
5;400;8;A;5;159;9,39;159;30,978;0;17;;;;;;;;
5;400;6;A;6;189;4,407;189;2,21;0;4;;;;;;;;
5;400;9;A;7;318;6,747;318;6,783;0;5;;;;;;;;
5;400;6;A;8;176;0,361;176;0,762;0;1;;;;;;;;
5;400;6;A;9;258;5,021;258;8,221;0;4;;;;;;;;
5;400;7;A;10;227;3,823;227;5,949;0;5;;;;;;;;
5;500;9;A;1;274;5,956;274;9,639;0;5;;;;;;;;
5;500;8;A;2;282;10,781;282;20,569;0;8;;;;;;;;
5;500;12;A;3;473;9,799;473;23,783;0;3;;;;;;;;
5;500;8;A;4;197;8,507;197;35,621;0;12;;;;;;;;
5;500;9;A;5;336;11,064;336;17,523;0;5;;;;;;;;
5;500;9;A;6;455;9,849;455;12,337;0;4;;;;;;;;
5;500;10;A;7;424;24,425;424;47,643;0;13;;;;;;;;
5;500;9;A;8;232;9,872;232;12,684;0;5;;;;;;;;
5;500;10;A;9;416;8,13;416;7,453;0;3;;;;;;;;
5;500;10;A;10;438;6,99;438;4,596;0;1;;;;;;;;
5;600;12;A;1;658;85,185;658;58,614;0;2;;;;;;;;
5;600;12;A;2;492;17,399;492;96,391;0;4;;;;;;;;
5;600;10;A;3;561;20,272;561;149,643;0;7;;;;;;;;
5;600;9;A;4;321;29,863;321;16,623;0;1;;;;;;;;
5;600;10;A;5;358;32,831;358;51,25;0;1;;;;;;;;
5;600;12;A;6;619;31,639;619;14,488;0;0;;;;;;;;
5;600;12;A;7;551;9,856;551;16,271;0;2;;;;;;;;
5;600;10;A;8;540;14,931;540;2,209;0;0;;;;;;;;
5;600;9;A;9;478;0,292;478;0,743;0;0;;;;;;;;
5;600;12;A;10;544;453,185;544;258,359;0;3;;;;;;;;
10;400;6;A;1;244;42,443;244;279,054;0;10;;;;;;;;
10;400;7;A;2;340;110,536;340;56,776;0;6;;;;;;;;
10;400;9;A;3;298;572,343;298;976,93;0;32;;;;;;;;
10;400;8;A;4;361;49,24;147;0,05;0;0;;;;;;;;
10;400;7;A;5;164;21,453;164;74,685;0;8;;;;;;;;
10;400;7;A;6;271;19,055;271;55,864;0;4;;;;;;;;
10;400;7;A;7;302;51,792;302;177,921;0;8;;;;;;;;
10;400;7;A;8;180;9,849;180;13,128;0;4;;;;;;;;
10;400;7;A;9;157;48,608;157;293,32;0;26;;;;;;;;
10;400;7;A;10;201;42,747;201;62,157;0;12;;;;;;;;
10;500;9;A;1;254;40,224;254;917,476;0;25;;;;;;;;
10;500;8;A;2;296;126,055;296;642,622;0;16;;;;;;;;
10;500;8;A;3;332;48,304;332;77,631;0;5;;;;;;;;
10;500;9;A;4;309;955,604;309;0,01;0;3;;;;;;;;
10;500;8;A;5;290;246,992;290;680,476;0;14;;;;;;;;
10;500;11;A;6;373;3600;373;3600;0;1;;;;;;;;
10;500;9;A;7;284;132,574;284;1040;0;54;;;;;;;;
10;500;10;A;8;391;951,837;391;2289,55;0;52;;;;;;;;
10;500;9;A;9;369;126,994;369;64,97;0;5;;;;;;;;
10;500;9;A;10;329;370,586;329;193,29;1;8;;;;;;;;
10;600;10;A;1;421;559,858;421;486,16;0;28;;;;;;;;
10;600;12;A;2;487;3600;487;1954,69;0;41;;;;;;;;
10;600;10;A;3;293;3600;293;2413,97;0;45;;;;;;;;
10;600;10;A;4;393;113,869;393;447,274;0;18;;;;;;;;
10;600;12;A;5;350;1378,62;350;2551,7;0;50;;;;;;;;
10;600;10;A;6;308;3600;308;1268,57;0;24;;;;;;;;
10;600;12;A;7;354;3600;354;1000,2;0;63;;;;;;;;
10;600;9;A;8;352;555,638;352;164,095;0;7;;;;;;;;
10;600;10;A;9;337;512,083;337;2475,75;0;48;;;;;;;;
10;600;12;A;10;530;1967,77;529;2585,75;0;50;;;;;;;;
3;400;8;B;1;326;1,09;326;1,396;0;1;;;;;;;;
3;400;9;B;2;309;0,1;309;0,342;0;0;;;;;;;;
3;400;7;B;3;216;0,341;216;0,04;0;0;;;;;;;;
3;400;7;B;4;187;0,86;187;0,01;0;0;;;;;;;;
3;400;8;B;5;206;0,652;206;0,01;0;0;;;;;;;;
3;400;9;B;6;385;1,52;385;0,71;0;2;;;;;;;;
3;400;8;B;7;281;0,42;281;0,21;0;0;;;;;;;;
3;400;8;B;8;242;0,14;242;0,23;0;0;;;;;;;;
3;400;9;B;9;260;0,08;260;0,01;0;0;;;;;;;;
3;400;6;B;10;184;0,15;184;0,02;0;0;;;;;;;;
3;500;12;B;1;378;6,624;378;1,916;0;2;;;;;;;;
3;500;9;B;2;364;2,887;364;0,963;0;1;;;;;;;;
3;500;9;B;3;302;0,4;302;0,01;0;0;;;;;;;;
3;500;11;B;4;525;2,26;525;0,582;0;1;;;;;;;;
3;500;9;B;5;357;1,6;357;0,46;0;1;;;;;;;;
3;500;10;B;6;309;3,934;309;1,036;0;1;;;;;;;;
3;500;9;B;7;269;0,18;269;0,07;0;0;;;;;;;;
3;500;8;B;8;235;0,36;235;0,05;0;0;;;;;;;;
3;500;8;B;9;143;0,5;143;0,03;0;0;;;;;;;;
3;500;9;B;10;251;1,493;251;0,55;0;0;;;;;;;;
3;600;10;B;1;436;9,126;436;2,602;0;1;;;;;;;;
3;600;10;B;2;432;6,76;432;3,672;0;1;;;;;;;;
3;600;13;B;3;413;6,21;413;2,389;0;1;;;;;;;;
3;600;9;B;4;359;1,73;359;0,18;0;0;;;;;;;;
3;600;9;B;5;294;4,14;294;1,17;0;1;;;;;;;;
3;600;9;B;6;335;5,898;335;3,331;0;2;;;;;;;;
3;600;10;B;7;401;1,94;401;0,169;0;0;;;;;;;;
3;600;13;B;8;658;3,856;658;0,772;0;0;;;;;;;;
3;600;12;B;9;475;7,437;475;3,009;0;3;;;;;;;;
3;600;14;B;10;343;2,614;343;0,747;0;0;;;;;;;;
5;400;8;B;1;261;1,41;261;0,12;0;0;;;;;;;;
5;400;7;B;2;132;0,09;132;0,02;0;0;;;;;;;;
5;400;9;B;3;273;0,11;273;0,02;0;0;;;;;;;;
5;400;8;B;4;327;0,08;327;0,03;0;0;;;;;;;;
5;400;8;B;5;159;1,23;159;0,79;0;0;;;;;;;;
5;400;8;B;6;151;0,14;151;0,02;0;0;;;;;;;;
5;400;8;B;7;239;0,74;239;0,02;0;0;;;;;;;;
5;400;9;B;8;297;0,29;297;0,02;0;0;;;;;;;;
5;400;9;B;9;223;0,24;223;0,02;0;0;;;;;;;;
5;400;8;B;10;302;0,1;302;0,01;0;0;;;;;;;;
5;500;9;B;1;322;0,83;322;0,22;0;0;;;;;;;;
5;500;9;B;2;291;0,61;291;0,02;0;0;;;;;;;;
5;500;9;B;3;252;0,25;252;0,06;0;0;;;;;;;;
5;500;10;B;4;419;1,694;419;0,37;0;0;;;;;;;;
5;500;8;B;5;145;0,637;145;0,04;0;0;;;;;;;;
5;500;9;B;6;292;0,41;292;0,09;0;0;;;;;;;;
5;500;8;B;7;162;1,54;162;0,07;0;0;;;;;;;;
5;500;8;B;8;229;0,24;229;0,02;0;0;;;;;;;;
5;500;10;B;9;270;0,88;270;0,14;0;0;;;;;;;;
5;500;9;B;10;323;0,3;323;0,02;0;0;;;;;;;;
5;600;11;B;1;397;2,08;397;1,362;0;0;;;;;;;;
5;600;10;B;2;323;0,28;323;0,09;0;0;;;;;;;;
5;600;11;B;3;421;6,633;421;0,26;0;0;;;;;;;;
5;600;11;B;4;311;0,31;311;0,15;0;0;;;;;;;;
5;600;11;B;5;401;0,12;401;0,08;0;0;;;;;;;;
5;600;12;B;6;424;1,743;424;5,916;0;2;;;;;;;;
5;600;11;B;7;340;1,48;340;0,86;0;0;;;;;;;;
5;600;10;B;8;326;1,35;326;0,08;0;0;;;;;;;;
5;600;11;B;9;315;1,671;315;0,09;0;0;;;;;;;;
5;600;10;B;10;329;0,49;329;0,02;0;0;;;;;;;;
10;400;6;B;1;135;0,26;135;0,03;0;0;;;;;;;;
10;400;7;B;2;195;0,24;195;0,03;0;0;;;;;;;;
10;400;6;B;3;127;0,24;127;0,02;0;0;;;;;;;;
10;400;8;B;4;147;0,23;147;0,05;0;0;;;;;;;;
10;400;7;B;5;107;0,26;107;0,05;0;0;;;;;;;;
10;400;8;B;6;184;0,4;184;0,03;0;0;;;;;;;;
10;400;8;B;7;205;1,329;205;0,07;0;0;;;;;;;;
10;400;7;B;8;131;0,27;131;0,06;0;0;;;;;;;;
10;400;7;B;9;112;0,984;112;0,02;0;0;;;;;;;;
10;400;8;B;10;227;1,73;227;0,21;0;0;;;;;;;;
10;500;11;B;1;270;0,34;270;0,03;0;0;;;;;;;;
10;500;9;B;2;231;0,38;231;0,03;0;0;;;;;;;;
10;500;8;B;3;253;0,244;253;0,03;0;0;;;;;;;;
10;500;9;B;4;208;1,35;208;0,06;0;0;;;;;;;;
10;500;10;B;5;228;0,35;228;0,03;0;0;;;;;;;;
10;500;8;B;6;222;0,33;222;0,03;0;0;;;;;;;;
10;500;8;B;7;246;0,32;246;0,03;0;1;;;;;;;;
10;500;8;B;8;207;1,2;207;0,03;0;0;;;;;;;;
10;500;8;B;9;135;0,21;135;0,07;0;0;;;;;;;;
10;500;9;B;10;223;0,9;223;1,496;0;0;;;;;;;;
10;600;10;B;1;248;0,84;248;0,19;0;0;;;;;;;;
10;600;13;B;2;418;2,621;418;0,21;0;0;;;;;;;;
10;600;11;B;3;364;0,34;364;0,41;0;0;;;;;;;;
10;600;12;B;4;377;1,002;377;0,33;0;0;;;;;;;;
10;600;12;B;5;256;0,37;256;0,18;0;0;;;;;;;;
10;600;12;B;6;258;0,427;258;0,03;0;0;;;;;;;;
10;600;12;B;7;335;31,572;335;26,281;0;0;;;;;;;;
10;600;10;B;8;316;0,382;316;0,03;0;0;;;;;;;;
10;600;12;B;9;308;2,021;308;0,41;0;0;;;;;;;;
10;600;10;B;10;226;2,209;226;0,23;0;0;;;;;;;;
3;400;9;C;1;197;0,29;197;0,02;0;1;;;;;;;;
3;400;9;C;2;162;0,24;162;0,02;0;0;;;;;;;;
3;400;9;C;3;165;0,85;165;0,01;0;0;;;;;;;;
3;400;6;C;4;178;0,311;178;0,02;0;1;;;;;;;;
3;400;9;C;5;220;0,72;220;0,03;0;1;;;;;;;;
3;400;7;C;6;162;1,085;162;0,03;0;2;;;;;;;;
3;400;8;C;7;108;1,58;108;0,05;0;1;;;;;;;;
3;400;7;C;8;201;0,11;201;0,02;0;1;;;;;;;;
3;400;10;C;9;201;0,58;201;0,05;0;2;;;;;;;;
3;400;8;C;10;156;0,19;156;0,05;1;1;;;;;;;;
3;500;8;C;1;159;0,95;159;0,04;0;2;;;;;;;;
3;500;8;C;2;169;1,3;169;0,44;0;2;;;;;;;;
3;500;9;C;3;156;0,61;156;0,06;0;3;;;;;;;;
3;500;10;C;4;293;0,52;293;0,074;0;3;;;;;;;;
3;500;9;C;5;118;1,427;118;0,02;0;1;;;;;;;;
3;500;9;C;6;150;0,25;150;0,02;0;1;;;;;;;;
3;500;10;C;7;220;0,16;220;0,02;0;1;;;;;;;;
3;500;10;C;8;172;1,14;172;0,11;0;3;;;;;;;;
3;500;10;C;9;246;0,85;246;0,36;0;2;;;;;;;;
3;500;8;C;10;177;0,11;177;0,01;0;0;;;;;;;;
3;600;12;C;1;194;2,528;194;1,14;0;2;;;;;;;;
3;600;9;C;2;184;2,656;184;0,03;0;1;;;;;;;;
3;600;10;C;3;185;1,43;185;0,02;0;1;;;;;;;;
3;600;10;C;4;318;1,41;318;0,44;0;1;;;;;;;;
3;600;11;C;5;189;1,33;189;0,1;0;1;;;;;;;;
3;600;10;C;6;320;0,45;320;0,09;0;1;;;;;;;;
3;600;10;C;7;244;0,67;244;0,17;0;1;;;;;;;;
3;600;12;C;8;235;2,15;235;0,21;0;4;;;;;;;;
3;600;11;C;9;244;1,897;244;0,931;0;2;;;;;;;;
3;600;10;C;10;200;1,567;200;0,08;0;3;;;;;;;;
5;400;10;C;1;161;2,646;161;0,52;0;3;;;;;;;;
5;400;9;C;2;193;0,31;193;0,029;0;1;;;;;;;;
5;400;7;C;3;228;0,1;228;0,01;0;0;;;;;;;;
5;400;8;C;4;241;1,58;241;0,03;0;1;;;;;;;;
5;400;8;C;5;98;1,801;98;0,53;0;1;;;;;;;;
5;400;6;C;6;114;0,53;114;0,02;0;1;;;;;;;;
5;400;9;C;7;199;0,4;199;0,03;0;1;;;;;;;;
5;400;6;C;8;114;1,941;114;0,09;0;1;;;;;;;;
5;400;6;C;9;136;2,78;136;0,05;0;2;;;;;;;;
5;400;7;C;10;149;0,75;149;0,03;0;1;;;;;;;;
5;500;9;C;1;152;1,982;152;0,38;0;3;;;;;;;;
5;500;8;C;2;212;1,472;212;0,28;0;1;;;;;;;;
5;500;12;C;3;271;2,794;271;0,43;0;3;;;;;;;;
5;500;8;C;4;108;3,141;108;0,46;0;2;;;;;;;;
5;500;9;C;5;210;3,022;210;0,1;0;1;;;;;;;;
5;500;9;C;6;283;2,23;283;0,31;0;1;;;;;;;;
5;500;10;C;7;286;2,01;286;0,171;0;1;;;;;;;;
5;500;9;C;8;134;3,097;134;0,06;0;1;;;;;;;;
5;500;10;C;9;216;3,893;216;0,11;0;3;;;;;;;;
5;500;10;C;10;280;2,312;280;0,06;0;2;;;;;;;;
5;600;10;C;1;161;8,211;161;2,424;0;7;;;;;;;;
5;600;9;C;2;220;3,842;220;0,17;0;4;;;;;;;;
5;600;12;C;3;241;3,299;241;2,13;0;9;;;;;;;;
5;600;10;C;4;239;5,244;239;1,579;0;4;;;;;;;;
5;600;9;C;5;166;5,326;166;0,78;0;3;;;;;;;;
5;600;10;C;6;323;5,047;323;1,212;0;2;;;;;;;;
5;600;9;C;7;139;5,087;139;0,1;0;4;;;;;;;;
5;600;11;C;8;129;3,542;129;2,217;0;6;;;;;;;;
5;600;12;C;9;189;4,455;189;0,22;0;3;;;;;;;;
5;600;9;C;10;204;2,396;204;0,03;0;1;;;;;;;;
10;400;6;C;1;148;9,459;148;0,079;0;2;;;;;;;;
10;400;7;C;2;227;9,351;227;1,083;0;2;;;;;;;;
10;400;9;C;3;208;0,43;208;0,23;0;1;;;;;;;;
10;400;8;C;4;276;4,91;276;0,26;0;2;;;;;;;;
10;400;7;C;5;82;2,631;82;0,06;0;1;;;;;;;;
10;400;7;C;6;156;3,96;156;0,09;0;2;;;;;;;;
10;400;7;C;7;204;4,997;204;9,715;0;3;;;;;;;;
10;400;7;C;8;157;1,5;157;0,023;0;0;;;;;;;;
10;400;7;C;9;100;6,308;100;0,18;0;3;;;;;;;;
10;400;7;C;10;164;1,967;164;1,755;0;2;;;;;;;;
10;500;9;C;1;175;7,143;175;2,054;0;3;;;;;;;;
10;500;8;C;2;152;8,6;152;0,939;0;3;;;;;;;;
10;500;8;C;3;226;3,423;226;0,03;0;0;;;;;;;;
10;500;9;C;4;170;5,034;170;3,253;0;5;;;;;;;;
10;500;8;C;5;205;8,393;205;0,124;0;2;;;;;;;;
10;500;11;C;6;233;41,976;233;19,28;0;12;;;;;;;;
10;500;9;C;7;164;17,659;164;0,768;0;2;;;;;;;;
10;500;10;C;8;272;8,465;272;2,104;0;3;;;;;;;;
10;500;9;C;9;229;8,531;229;0,07;0;1;;;;;;;;
10;500;9;C;10;206;3600;218;4,297;0;2;;;;;;;;
10;600;10;C;1;270;8,293;270;0,17;0;1;;;;;;;;
10;600;12;C;2;291;18,543;291;14,835;1;4;;;;;;;;
10;600;10;C;3;174;12,709;174;2,127;0;2;;;;;;;;
10;600;10;C;4;273;10,777;273;1,561;0;2;;;;;;;;
10;600;12;C;5;192;14,494;192;13,554;0;7;;;;;;;;
10;600;10;C;6;181;12,609;181;0,3;0;2;;;;;;;;
10;600;12;C;7;193;24,601;193;7,601;0;8;;;;;;;;
10;600;9;C;8;223;11,715;223;1,235;0;1;;;;;;;;
10;600;10;C;9;217;3,341;217;0,868;0;1;;;;;;;;
10;600;12;C;10;359;20,532;359;11,588;0;8;;;;;;;;
3;400;9;D;1;281;0,35;281;0,03;0;0;;;;;;;;
3;400;9;D;2;258;0,91;258;0,05;0;0;;;;;;;;
3;400;9;D;3;241;0,83;241;0,12;0;0;;;;;;;;
3;400;6;D;4;202;0,362;202;0,02;0;1;;;;;;;;
3;400;9;D;5;280;1,02;280;0,24;0;1;;;;;;;;
3;400;7;D;6;180;2,175;180;0,752;0;5;;;;;;;;
3;400;8;D;7;163;2,112;163;1,382;0;6;;;;;;;;
3;400;7;D;8;256;1,326;256;0,02;0;0;;;;;;;;
3;400;10;D;9;256;0,09;256;0,02;0;0;;;;;;;;
3;400;8;D;10;230;0,41;230;0,02;0;0;;;;;;;;
3;500;8;D;1;222;0,62;222;0,09;0;1;;;;;;;;
3;500;8;D;2;234;1,22;234;0,41;0;2;;;;;;;;
3;500;9;D;3;220;3,466;220;0,76;0;1;;;;;;;;
3;500;10;D;4;349;0,35;349;0,02;0;0;;;;;;;;
3;500;9;D;5;176;1,37;176;0,08;0;2;;;;;;;;
3;500;9;D;6;195;2,5;195;1,16;0;3;;;;;;;;
3;500;10;D;7;289;1,571;289;0,17;0;1;;;;;;;;
3;500;10;D;8;242;3,18;242;2,39;0;6;;;;;;;;
3;500;10;D;9;331;3,196;331;2,89;0;2;;;;;;;;
3;500;8;D;10;223;0,635;223;0,35;0;2;;;;;;;;
3;600;12;D;1;296;4,034;296;2,024;0;2;;;;;;;;
3;600;9;D;2;264;2,04;264;1,68;0;1;;;;;;;;
3;600;10;D;3;249;3,617;249;2,59;0;1;;;;;;;;
3;600;10;D;4;410;1,839;410;1,362;0;2;;;;;;;;
3;600;11;D;5;261;3,716;261;1,718;0;1;;;;;;;;
3;600;10;D;6;407;2,981;407;0,37;0;2;;;;;;;;
3;600;10;D;7;293;2,857;293;2,582;0;5;;;;;;;;
3;600;12;D;8;340;4,85;340;0,3;0;1;;;;;;;;
3;600;11;D;9;316;2,16;316;0,78;0;1;;;;;;;;
3;600;10;D;10;275;0,42;275;0,824;0;0;;;;;;;;
5;400;10;D;1;196;21,943;196;23,491;0;14;;;;;;;;
5;400;9;D;2;267;3,137;267;0,86;0;2;;;;;;;;
5;400;7;D;3;263;1,794;263;0,063;0;1;;;;;;;;
5;400;8;D;4;306;4,935;306;6,197;0;3;;;;;;;;
5;400;8;D;5;139;3,865;139;6,746;0;7;;;;;;;;
5;400;6;D;6;166;0,51;166;0,752;0;4;;;;;;;;
5;400;9;D;7;256;14,666;256;10,699;0;7;;;;;;;;
5;400;6;D;8;133;2,614;133;0,35;0;2;;;;;;;;
5;400;6;D;9;209;3,264;209;0,27;0;2;;;;;;;;
5;400;7;D;10;178;3,657;178;2,38;0;5;;;;;;;;
5;500;9;D;1;200;6,233;200;4,137;0;10;;;;;;;;
5;500;8;D;2;263;4,097;263;1,069;0;1;;;;;;;;
5;500;12;D;3;374;9,85;374;2,054;0;8;;;;;;;;
5;500;8;D;4;161;4,069;161;3,362;0;5;;;;;;;;
5;500;9;D;5;277;18,996;277;4,124;0;2;;;;;;;;
5;500;9;D;6;362;9,742;362;3,719;0;6;;;;;;;;
5;500;10;D;7;373;6,685;373;5,638;0;3;;;;;;;;
5;500;9;D;8;185;7,089;185;2,883;0;3;;;;;;;;
5;500;10;D;9;322;8,674;322;8,004;0;5;;;;;;;;
5;500;10;D;10;323;5,293;323;6,965;0;12;;;;;;;;
5;600;10;D;1;272;7,337;272;3,338;0;4;;;;;;;;
5;600;9;D;2;328;6,144;328;4,965;0;2;;;;;;;;
5;600;12;D;3;368;65,337;368;55,935;0;13;;;;;;;;
5;600;10;D;4;363;14,689;363;13,421;0;6;;;;;;;;
5;600;9;D;5;231;17,769;231;18,112;0;8;;;;;;;;
5;600;10;D;6;407;7,668;407;8,796;0;4;;;;;;;;
5;600;9;D;7;200;42,933;200;28,848;0;17;;;;;;;;
5;600;11;D;8;209;50,728;209;37,509;0;14;;;;;;;;
5;600;12;D;9;288;19,697;288;14,007;0;6;;;;;;;;
5;600;9;D;10;277;15,98;277;12,017;0;6;;;;;;;;
10;400;6;D;1;197;11,642;197;13,156;0;9;;;;;;;;
10;400;7;D;2;287;18,236;287;18,386;0;6;;;;;;;;
10;400;9;D;3;253;71,791;253;38,991;0;8;;;;;;;;
10;400;8;D;4;328;18,493;328;14,809;0;3;;;;;;;;
10;400;7;D;5;125;18,028;125;13,435;0;7;;;;;;;;
10;400;7;D;6;238;18,075;238;10,104;0;3;;;;;;;;
10;400;7;D;7;255;18,883;255;18,822;0;7;;;;;;;;
10;400;7;D;8;177;1,848;177;1,635;0;1;;;;;;;;
10;400;7;D;9;135;19,066;135;17,007;0;10;;;;;;;;
10;400;7;D;10;185;16,508;185;11,114;0;5;;;;;;;;
10;500;9;D;1;219;43,246;219;60,542;0;15;;;;;;;;
10;500;8;D;2;232;28,775;232;20,759;0;7;;;;;;;;
10;500;8;D;3;284;20,808;284;18,516;0;5;;;;;;;;
10;500;9;D;4;227;72,093;227;76,645;0;21;;;;;;;;
10;500;8;D;5;264;20,641;264;13,06;0;4;;;;;;;;
10;500;11;D;6;323;1755,2;316;430,764;2;56;;;;;;;;
10;500;9;D;7;227;87,841;227;86,755;1;19;;;;;;;;
10;500;10;D;8;329;91,934;329;117,116;0;20;;;;;;;;
10;500;9;D;9;306;23,805;306;22,274;0;9;;;;;;;;
10;500;9;D;10;271;47,111;271;36,64;0;7;;;;;;;;
10;600;10;D;1;377;42,113;377;75,665;0;9;;;;;;;;
10;600;12;D;2;362;785,74;352;585,847;0;73;;;;;;;;
10;600;10;D;3;235;128,612;235;119,983;0;18;;;;;;;;
10;600;10;D;4;338;95,367;328;90,154;0;14;;;;;;;;
10;600;12;D;5;281;228,021;281;233,49;0;31;;;;;;;;
10;600;10;D;6;258;437,805;258;83,06;0;12;;;;;;;;
10;600;12;D;7;296;329,996;291;348,933;1;39;;;;;;;;
10;600;9;D;8;305;19,502;305;34,089;0;5;;;;;;;;
10;600;10;D;9;283;37,98;283;59,099;0;11;;;;;;;;
10;600;12;D;10;465;737,643;442;362,367;0;43;;;;;;;;